id,lclas,mlsfc,id_poi,poi_nm,branch_nm,sub_nm,mcate_cd,mcate_nm,pnu,sido_nm,sgg_nm,bemd_nm,ri_nm,beonji,badm_cd,hadm_cd,rd_cd,rd_nm,bld_num,x,y,grid_cd,lst_updt_dt,data_orgn,FILE_NAME,base_ymd
KC497PP19N000001,장소,문화시설,10081284,CGV,북포항점,,100208,CGV,4711310700102350004,경상북도,포항시 북구,덕산동,,235-4,4711310700,4711352000,471133303017,서동로,93,129.368198603295,36.0407075146946,마마682842,20201231,KT,KC_497_DMSTC_MCST_THEART_2020,20201231
KC497PP19N000002,장소,문화시설,10210261,CGV,김해점,,100208,CGV,4825010800111310004,경상남도,김해시,내동,,1131-4,4825010800,4825054000,482503335013,내외중앙로,137,128.868604494345,35.2422043415493,마라245949,20201231,KT,KC_497_DMSTC_MCST_THEART_2020,20201231
KC497PP19N000003,장소,문화시설,10253565,메가박스,제천점,,100212,메가박스,4315010400111450000,충청북도,제천시,남천동,,1145,4315010400,4315053700,431504517810,의병대로18길,1,128.212340736983,37.1352931044443,라사632043,20201231,KT,KC_497_DMSTC_MCST_THEART_2020,20201231
KC497PP19N000004,장소,문화시설,10253568,제물포극장,,,100202,일반극장/영화관,2817710100100530006,인천광역시,미추홀구,숭의동,,53-6,2817710100,2817753000,281773151011,수봉로,3,126.656531191156,37.4658077284874,다사254410,20201231,KT,KC_497_DMSTC_MCST_THEART_2020,20201231
KC497PP19N000005,장소,문화시설,10253586,국도복합영화관,,,100202,일반극장/영화관,4513011700100120001,전라북도,군산시,개복동,,12-1,4513011700,4513053000,451303268070,아리랑로,9,126.714745318718,35.984540682615,다마292767,20201231,KT,KC_497_DMSTC_MCST_THEART_2020,20201231
KC497PP19N000006,장소,문화시설,10253597,예당시네마,,,100202,일반극장/영화관,4721010100103770018,경상북도,영주시,영주동,,377-18,4721010100,4721055000,472104727058,구성로350번길,24,128.624235250233,36.8238465660717,마바002701,20201231,KT,KC_497_DMSTC_MCST_THEART_2020,20201231
KC497PP19N000007,장소,문화시설,10253603,안동극장,,,100202,일반극장/영화관,4717010200101830003,경상북도,안동시,서부동,,183-3,4717010200,4717051000,471704721470,번영길,27,128.72863384491,36.5655503961351,마바099415,20201231,KT,KC_497_DMSTC_MCST_THEART_2020,20201231
KC497PP19N000008,장소,문화시설,10253615,가고파극장,,,100202,일반극장/영화관,2711014800100090001,대구광역시,중구,동성로1가,,9-1,2711014800,2711056500,271103141006,동성로,76,128.595990946348,35.8734907165567,라마989646,20201231,KT,KC_497_DMSTC_MCST_THEART_2020,20201231
KC497PP19N000009,장소,문화시설,10253621,아카데미극장,,,100202,일반극장/영화관,4213010200103490003,강원도,원주시,평원동,,349-3,4213010200,4213051500,421303219056,평원로,20,127.953534845472,37.3487298789114,라사401278,20201231,KT,KC_497_DMSTC_MCST_THEART_2020,20201231
KC497PP19N000010,장소,문화시설,10253622,선사시네마,,,100202,일반극장/영화관,3017011300102510000,대전광역시,서구,월평동,,251,3017011300,3017058700,301704298182,대덕대로317번길,26,127.377913138174,36.3613109611671,다바890182,20201231,KT,KC_497_DMSTC_MCST_THEART_2020,20201231
KC497PP19N000011,장소,문화시설,10253623,석계극장,,,100202,일반극장/영화관,1135010200100460001,서울특별시,노원구,월계동,,46-1,1135010200,1135056000,113503005046,화랑로,337,127.065205247521,37.6151912034465,다사616573,20201231,KT,KC_497_DMSTC_MCST_THEART_2020,20201231
KC497PP19N000012,장소,문화시설,10253628,옥포극장,,,100202,일반극장/영화관,4831010600116700000,경상남도,거제시,옥포동,,1670,4831010600,4831055000,483104811304,서간도길,78,128.687604901306,34.890508112479,마라085557,20201231,KT,KC_497_DMSTC_MCST_THEART_2020,20201231
KC497PP19N000013,장소,문화시설,10253630,아리랑시네센터,,,100202,일반극장/영화관,1129013300101130032,서울특별시,성북구,정릉동,,113-32,1129013300,1129062000,112903107009,아리랑로,82,127.013898843533,37.6003048168837,다사570557,20201231,KT,KC_497_DMSTC_MCST_THEART_2020,20201231
KC497PP19N000014,장소,문화시설,10253632,동보극장,,,100202,일반극장/영화관,2623010300101650002,부산광역시,부산진구,부전동,,165-2,2623010300,2623052000,262302000010,중앙대로,704,129.059529829298,35.1555124369726,마라420855,20201231,KT,KC_497_DMSTC_MCST_THEART_2020,20201231
KC497PP19N000015,장소,문화시설,10253636,다모아극장,,,100202,일반극장/영화관,3011012000100610001,대전광역시,동구,중동,,61-1,3011012000,3011051500,301103164027,태전로,5,127.430773164546,36.3311702859938,다바937148,20201231,KT,KC_497_DMSTC_MCST_THEART_2020,20201231
KC497PP19N000016,장소,문화시설,10253648,명성극장,,,100202,일반극장/영화관,4725010700100010004,경상북도,상주시,남성동,,1-4,4725010700,4725052000,472503311074,왕산로,219-13,128.162146685808,36.4151351209179,라바593243,20201231,KT,KC_497_DMSTC_MCST_THEART_2020,20201231
KC497PP19N000017,장소,문화시설,10253651,명보극장,,,100202,일반극장/영화관,4418010100104160004,충청남도,보령시,대천동,,416-4,4418010100,4418052500,441803252052,중앙로,125,126.59061318222,36.3520297356772,다바184175,20201231,KT,KC_497_DMSTC_MCST_THEART_2020,20201231
KC497PP19N000018,장소,문화시설,10253656,경동극장,,,100202,일반극장/영화관,4812710600100840035,경상남도,창원시 마산회원구,합성동,,84-35,4812710600,4812758000,481272019003,3.15대로,761,128.583228888487,35.2398062756121,라라985943,20201231,KT,KC_497_DMSTC_MCST_THEART_2020,20201231
KC497PP19N000019,장소,문화시설,10253665,시네마월드,,,100202,일반극장/영화관,4613012800100850023,전라남도,여수시,학동,,85-23,4613012800,4613078000,461303282023,선소로,69,127.667191093732,34.7589886411039,라라153405,20201231,KT,KC_497_DMSTC_MCST_THEART_2020,20201231
KC497PP19N000020,장소,문화시설,10253674,세종극장,,,100202,일반극장/영화관,4113310100141630000,경기도,성남시 중원구,성남동,,4163,4113310100,4113351000,411334337265,성남대로1147번길,3,127.128558647569,37.432020818919,다사671370,20201231,KT,KC_497_DMSTC_MCST_THEART_2020,20201231
KC497PP19N000021,장소,문화시설,10253683,낙원극장,,,100202,일반극장/영화관,1111013700101950001,서울특별시,종로구,낙원동,,195-1,1111013700,1111061500,111104100196,돈화문로5길,34-3,126.990010460721,37.5708516397987,다사549525,20201231,KT,KC_497_DMSTC_MCST_THEART_2020,20201231
KC497PP19N000022,장소,문화시설,10253687,귀빈극장,,,100202,일반극장/영화관,4729011700103630004,경상북도,경산시,중방동,,363-4,4729011700,4729051000,472904739664,중앙로14길,4,128.734195552748,35.8220304112256,마마114590,20201231,KT,KC_497_DMSTC_MCST_THEART_2020,20201231
KC497PP19N000023,장소,문화시설,10253692,대백예술극장,,,100202,일반극장/영화관,2711015700102140000,대구광역시,중구,대봉동,,214,2711015700,2711068000,271103141013,명덕로,333,128.606429548713,35.8558036565341,라마999627,20201231,KT,KC_497_DMSTC_MCST_THEART_2020,20201231
KC497PP19N000024,장소,문화시설,10253694,국도극장,,,100202,일반극장/영화관,4115010100101700021,경기도,의정부시,의정부동,,170-21,4115010100,4115051000,411504343198,시민로131번길,16,127.050112785516,37.7387139836634,다사603711,20201231,KT,KC_497_DMSTC_MCST_THEART_2020,20201231
KC497PP19N000025,장소,문화시설,10253696,바다극장,,,100202,일반극장/영화관,1111015800102220000,서울특별시,종로구,예지동,,222,1111015800,1111061500,111103100021,청계천로,187,126.998486837289,37.5693543116365,다사557523,20201231,KT,KC_497_DMSTC_MCST_THEART_2020,20201231
KC497PP19N000026,장소,문화시설,10253697,밀양시네마,,,100202,일반극장/영화관,4827010200115650016,경상남도,밀양시,내이동,,1565-16,4827010200,4827052000,482703336022,백민로,75-1,128.746202194365,35.499291325856,마마130233,20201231,KT,KC_497_DMSTC_MCST_THEART_2020,20201231
KC497PP19N000027,장소,문화시설,10253702,문화극장,,,100202,일반극장/영화관,4125010300106160002,경기도,동두천시,생연동,,616-2,4125010300,4125051000,412503189004,동광로,66,127.055788460614,37.9083698623222,다사609899,20201231,KT,KC_497_DMSTC_MCST_THEART_2020,20201231
KC497PP19N000028,장소,문화시설,10253714,동화극장,,,100202,일반극장/영화관,3011010200100290004,대전광역시,동구,인동,,29-4,3011010200,3011054500,301103164006,대전천동로,462,127.435566166082,36.323205112345,다바942139,20201231,KT,KC_497_DMSTC_MCST_THEART_2020,20201231
KC497PP19N000029,장소,문화시설,10253716,동원극장,,,100202,일반극장/영화관,4480025021103240001,충청남도,홍성군,홍성읍,오관리,324-1,4480025021,4480025000,448003262019,조양로,180-9,126.669628283525,36.6002508203422,다바257450,20201231,KT,KC_497_DMSTC_MCST_THEART_2020,20201231
KC497PP19N000030,장소,문화시설,10253717,동성아트홀,,,100202,일반극장/영화관,2711014800100220002,대구광역시,중구,동성로1가,,22-2,2711014800,2711056500,271103141006,동성로,69,128.595622809849,35.8729242882048,라마989645,20201231,KT,KC_497_DMSTC_MCST_THEART_2020,20201231
KC497PP19N000031,장소,문화시설,10253721,창원시네마,,,100202,일반극장/영화관,4812312500100960001,경상남도,창원시 성산구,중앙동,,96-1,4812312500,4812352000,481232327003,중앙대로,95,128.678911395655,35.2236211927949,마라072926,20201231,KT,KC_497_DMSTC_MCST_THEART_2020,20201231
KC497PP19N000032,장소,문화시설,10253727,중앙극장,,,100202,일반극장/영화관,4150010100101630000,경기도,이천시,창전동,,163,4150010100,4150051000,415003207041,영창로,202,127.44505008995,37.2807880869213,다사951202,20201231,KT,KC_497_DMSTC_MCST_THEART_2020,20201231
KC497PP19N000033,장소,문화시설,10253728,중앙극장,,,100202,일반극장/영화관,4812913100100200000,경상남도,창원시 진해구,화천동,,20,4812913100,4812953000,481293331061,중원로,83-1,128.659536969753,35.1517291594221,마라056846,20201231,KT,KC_497_DMSTC_MCST_THEART_2020,20201231
KC497PP19N000034,장소,문화시설,10253729,중앙극장,,,100202,일반극장/영화관,4311110300101050003,충청북도,청주시 상당구,북문로2가,,105-3,4311110300,4311152500,,,,127.488573762913,36.6395823060584,다바989490,20201231,KT,KC_497_DMSTC_MCST_THEART_2020,20201231
